episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.465,1.86,7.79,-0.33275638085749093,1.0,0.1,20.0,-0.2670138888888888,0.72,72.0,0.6802083333333334,0.24,16.0,-0.05312499999999999,0.8,40.0,0.8024305555555556
400,0.545,2.18,8.27,-0.29042769706051663,1.0,0.16,32.0,-0.24756944444444445,0.72,72.0,0.6079861111111111,0.42000000000000004,28.000000000000004,0.14965277777777786,0.88,44.0,0.8524305555555556
600,0.9400000000000001,3.7600000000000002,10.639999999999999,-0.2300070765140798,0.75,0.26,52.0,-0.45138888888888884,0.52,52.0,-0.05416666666666688,1.1400000000000001,76.00000000000001,0.8930555555555558,1.84,92.0,1.9625
800,0.6599999999999999,2.6399999999999997,8.959999999999999,-0.26126126051751997,1.0,0.1,20.0,-0.4430555555555555,0.24,24.0,-0.2291666666666668,1.5,100.0,1.6958333333333333,0.8,40.0,0.626388888888889
1000,0.725,2.9,9.350000000000001,0.08720706977673576,1.0,0.48,96.0,0.07881944444444439,0.52,52.0,0.1399305555555556,1.02,68.0,0.9038194444444445,0.88,44.0,0.6899305555555555
1200,0.42,1.68,7.52,-0.17467581933961362,0.75,0.12,24.0,-0.19583333333333328,0.04,4.0,-0.3180555555555556,1.44,96.0,1.8208333333333333,0.08,4.0,-0.25694444444444436
1400,0.5549999999999999,2.2199999999999998,8.329999999999998,-0.21297697033226193,1.0,0.38,76.0,0.07951388888888883,0.04,4.0,-0.4399305555555556,0.12,8.0,-0.3177083333333334,1.68,84.0,2.0656250000000003
1600,0.22499999999999998,0.8999999999999999,6.35,-0.22648083486942894,1.0,0.1,20.0,-0.050347222222222196,0.0,0.0,-0.20312499999999997,0.72,48.0,0.8968749999999998,0.08,4.0,-0.08090277777777773
1800,0.14500000000000002,0.5800000000000001,5.87,-0.18859429543614237,0.75,0.0,0.0,-0.13090277777777778,0.04,4.0,-0.06979166666666665,0.54,36.00000000000001,0.6940972222222223,0.0,0.0,-0.13090277777777778
2000,0.19,0.76,6.140000000000001,-0.21274762984809947,0.75,0.12,24.0,0.01180555555555552,0.64,64.0,0.8062499999999999,0.0,0.0,-0.17152777777777775,0.0,0.0,-0.17152777777777775
2200,0.025,0.1,5.15,-0.22648082392939117,0.75,0.02,4.0,0.00798611111111111,0.08,8.0,0.09965277777777777,0.0,0.0,-0.022569444444444444,0.0,0.0,-0.022569444444444444
2400,0.225,0.9,6.35,-0.2622142520684998,1.0,0.1,20.0,-0.050347222222222224,0.64,64.0,0.7746527777777777,0.0,0.0,-0.203125,0.16,8.0,0.041319444444444436
2600,0.175,0.7,6.05,-0.28999362414583696,1.0,0.46,92.0,0.5447916666666667,0.16,16.0,0.08645833333333333,0.0,0.0,-0.1579861111111111,0.08,4.0,-0.035763888888888914
2800,0.21500000000000002,0.8600000000000001,6.290000000000001,-0.30764997040944864,1.0,0.12,24.0,-0.01076388888888887,0.2,20.0,0.11145833333333334,0.54,36.00000000000001,0.6309027777777779,0.0,0.0,-0.19409722222222223
3000,0.16999999999999998,0.6799999999999999,6.02,-0.38704027671219254,1.0,0.26,52.0,0.24374999999999997,0.36,36.0,0.3965277777777777,0.06,4.0,-0.06180555555555558,0.0,0.0,-0.1534722222222222
3200,0.23,0.92,6.380000000000001,-0.4193548358430981,1.0,0.46,92.0,0.49513888888888896,0.0,0.0,-0.20763888888888887,0.06,4.0,-0.11597222222222224,0.4,20.0,0.40347222222222223
3400,0.22,0.88,6.319999999999999,-0.2682926809020605,0.75,0.02,4.0,-0.16805555555555554,0.24,24.0,0.16805555555555554,0.54,36.00000000000001,0.626388888888889,0.08,4.0,-0.07638888888888887
3600,0.085,0.34,5.51,-0.2958500619383557,0.75,0.22,44.0,0.259375,0.04,4.0,-0.015624999999999995,0.0,0.0,-0.07673611111111112,0.08,4.0,0.045486111111111116
3800,0.28,1.12,6.680000000000001,-0.22815533765953444,1.0,0.18,36.0,0.022222222222222192,0.32,32.0,0.23611111111111116,0.54,36.00000000000001,0.5722222222222223,0.08,4.0,-0.13055555555555554
4000,0.145,0.58,5.87,-0.42562591442444364,0.75,0.02,4.0,-0.10034722222222218,0.24,24.0,0.23576388888888888,0.24,16.0,0.23576388888888888,0.08,4.0,-0.008680555555555549
4200,0.11,0.44,5.66,-0.2549019575631748,0.75,0.0,0.0,-0.09930555555555556,0.0,0.0,-0.09930555555555556,0.12,8.0,0.08402777777777777,0.32,16.0,0.3895833333333333
4400,0.125,0.5,5.75,-0.3583241412216387,1.0,0.16,32.0,0.1315972222222222,0.28,28.000000000000004,0.3149305555555556,0.06,4.0,-0.021180555555555564,0.0,0.0,-0.11284722222222224
4600,0.33,1.32,6.98,-0.2549019597106006,1.0,0.12,24.0,-0.11458333333333329,0.96,96.0,1.16875,0.24,16.0,0.06875,0.0,0.0,-0.29791666666666666
4800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
5000,0.27,1.08,6.62,-0.23446893668828617,0.75,0.0,0.0,-0.24375,0.84,84.0,1.0395833333333335,0.24,16.0,0.12291666666666665,0.0,0.0,-0.24375
5200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
5400,0.555,2.22,8.330000000000002,-0.31173039451765305,0.75,0.0,0.0,-0.5010416666666667,0.84,84.0,0.7822916666666666,1.3800000000000001,92.0,1.6072916666666668,0.0,0.0,-0.5010416666666666
5600,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
5800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
6000,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
6200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
6400,0.625,2.5,8.75,-0.3000923354119547,1.0,0.0,0.0,-0.5642361111111112,0.84,84.0,0.7190972222222223,0.06,4.0,-0.4725694444444444,1.6,80.0,1.8802083333333333
6600,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
6800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
7000,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
7200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
7400,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
7600,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
7800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
8000,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
8200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
8400,0.705,2.82,9.23,-0.277097505112919,1.0,0.0,0.0,-0.6364583333333333,0.84,84.0,0.6468750000000001,0.06,4.0,-0.5447916666666666,1.92,96.0,2.296875
8600,0.235,0.94,6.41,-0.1980551042300165,1.0,0.04,8.0,-0.15104166666666669,0.84,84.0,1.0711805555555558,0.06,4.0,-0.12048611111111118,0.0,0.0,-0.21215277777777775
8800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
9000,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
9200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
9400,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
9600,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
9800,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
10000,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
10200,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
10400,0.27,1.08,6.62,-0.23446893668828617,1.0,0.18,36.0,0.031249999999999986,0.84,84.0,1.0395833333333335,0.06,4.0,-0.1520833333333333,0.0,0.0,-0.24374999999999997
10600,0.22499999999999998,0.8999999999999999,6.35,-0.18804242898696155,0.75,0.0,0.0,-0.203125,0.84,84.0,1.0802083333333334,0.06,4.0,-0.11145833333333335,0.0,0.0,-0.203125
