episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.705,2.82,10.639999999999999,-0.17774989425905496,1.0,0.32,64.0,-0.1770833333333334,0.96,96.0,0.9962500000000001,0.8999999999999999,60.0,0.8862499999999999,0.64,32.0,0.4095833333333334
400,0.6100000000000001,2.4400000000000004,9.880000000000003,-0.41800947706008396,1.0,0.16,32.0,-0.3675,0.72,72.0,0.6591666666666668,0.8400000000000001,56.00000000000001,0.8791666666666668,0.72,36.0,0.6591666666666668
600,0.505,2.02,9.04,-0.2613975705699074,1.0,0.46,92.0,0.29625,0.12,12.0,-0.3270833333333332,0.0,0.0,-0.5470833333333334,1.44,72.0,2.0929166666666665
800,0.33499999999999996,1.3399999999999999,7.68,-0.2597673716005242,1.0,0.02,4.0,-0.32624999999999993,0.36,36.0,0.29708333333333325,0.0,0.0,-0.36291666666666667,0.96,48.0,1.3970833333333332
1000,0.485,1.94,8.879999999999999,-0.30678366414570357,1.0,0.08,16.0,-0.37875000000000003,0.36,36.0,0.13458333333333333,0.54,36.00000000000001,0.4645833333333335,0.96,48.0,1.2345833333333331
1200,0.7250000000000001,2.9000000000000004,10.8,0.07250079917789798,1.0,0.48,96.0,0.09458333333333335,0.48,48.0,0.09458333333333335,1.1400000000000001,76.00000000000001,1.3045833333333334,0.8,40.0,0.6812500000000001
1400,0.715,2.86,10.719999999999999,-0.28213689435769784,1.0,0.06,12.0,-0.6645833333333331,0.88,88.0,0.8387500000000001,0.0,0.0,-0.7745833333333333,1.92,96.0,2.745416666666666
1600,0.175,0.7,6.4,-0.34865900135112526,1.0,0.0,0.0,-0.1895833333333333,0.4,40.0,0.54375,0.06,4.0,-0.07958333333333338,0.24,12.0,0.25041666666666657
1800,0.255,1.02,7.040000000000001,-0.7198697023586456,1.0,0.34,68.0,0.3470833333333333,0.0,0.0,-0.27625,0.36,24.0,0.38375,0.32,16.0,0.3104166666666667
2000,0.06,0.24,5.48,-0.4193548295525493,0.5,0.04,8.0,0.008333333333333321,0.08,8.0,0.08166666666666669,0.12,8.0,0.15500000000000003,0.0,0.0,-0.065
2200,0.27,1.08,7.16,-0.2571428560376765,0.75,0.1,20.0,-0.10916666666666659,0.2,20.0,0.07416666666666674,0.78,52.0,1.1375,0.0,0.0,-0.2925
2400,0.32,1.28,7.56,-0.5098039193483277,1.0,0.36,72.0,0.31333333333333335,0.56,56.00000000000001,0.6799999999999999,0.36,24.0,0.31333333333333335,0.0,0.0,-0.34666666666666673
2600,0.125,0.5,6.0,-0.20173804910976334,0.75,0.06,12.0,-0.025416666666666678,0.44,44.0,0.67125,0.0,0.0,-0.13541666666666666,0.0,0.0,-0.13541666666666666
2800,0.15000000000000002,0.6000000000000001,6.2,-0.4193548350468257,1.0,0.26,52.0,0.3141666666666667,0.04,4.0,-0.08916666666666667,0.30000000000000004,20.000000000000004,0.3875000000000001,0.0,0.0,-0.16249999999999998
3000,0.525,2.1,9.200000000000001,-0.2564343409702343,1.0,0.22,44.0,-0.16541666666666666,0.0,0.0,-0.5687499999999999,0.36,24.0,0.09124999999999994,1.52,76.0,2.217916666666667
3200,0.42500000000000004,1.7000000000000002,8.4,-0.17232488061298668,1.0,0.16,32.0,-0.1670833333333333,0.28,28.000000000000004,0.05291666666666679,0.78,52.0,0.9695833333333332,0.48,24.0,0.4195833333333333
3400,0.465,1.86,8.72,-0.20734007839176538,0.75,0.26,52.0,-0.027083333333333466,0.0,0.0,-0.5037499999999999,0.0,0.0,-0.5037499999999999,1.6,80.0,2.4295833333333334
3600,0.35,1.4,7.799999999999999,-0.3608247409730454,1.0,0.14,28.000000000000004,-0.12250000000000003,0.48,48.0,0.5008333333333332,0.78,52.0,1.0508333333333333,0.0,0.0,-0.3791666666666666
