state_action,q_value
"((1.0,), 0.0)",25.432860462467065
"((1.0,), 0.04)",25.43835228701357
"((1.0,), 0.08)",25.43276978790365
"((1.0,), 0.12)",25.43048702718551
"((1.0,), 0.16)",25.42615713951281
"((1.0,), 0.2)",25.436325197686607
"((1.0,), 0.24)",25.432267578129757
"((1.0,), 0.28)",25.434645679956922
"((1.0,), 0.32)",25.435738679763492
"((1.0,), 0.36)",25.435796738889305
"((1.0,), 0.4)",25.427567555526355
"((1.0,), 0.44)",25.418468615242887
"((1.0,), 0.48)",25.437069934410165
"((1.0,), 0.52)",25.4297128474119
"((1.0,), 0.56)",25.431282030533517
"((1.0,), 0.6)",25.423785195186333
"((1.0,), 0.64)",25.434176477971477
"((1.0,), 0.68)",25.434931096213088
"((1.0,), 0.72)",25.419563452956684
"((1.0,), 0.76)",25.32235493930372
"((1.0,), 0.8)",25.414372539461088
"((1.0,), 0.84)",25.428765078330038
"((1.0,), 0.88)",25.433857244591163
"((1.0,), 0.92)",25.42610784261144
"((1.0,), 0.96)",25.426417199002763
"((1.0,), 1.0)",25.435484884539083
