state_action,q_value
"((0.5,), 0.0)",15.513410291311095
"((0.5,), 0.04)",13.18840271101081
"((0.5,), 0.08)",13.839606679634501
"((0.5,), 0.12)",13.962097321420469
"((0.5,), 0.16)",13.819155200023763
"((0.5,), 0.2)",13.416894270396408
"((0.5,), 0.24)",13.596901632969296
"((0.5,), 0.28)",13.465840384626118
"((0.5,), 0.32)",14.083838902831696
"((0.5,), 0.36)",14.161694944037954
"((0.5,), 0.4)",14.04776013965339
"((0.5,), 0.44)",13.50667684620093
"((0.5,), 0.48)",14.002082632318723
"((0.5,), 0.52)",13.763579801319729
"((0.5,), 0.56)",13.612295029456398
"((0.5,), 0.6)",14.010497008877794
"((0.5,), 0.64)",13.978940363338062
"((0.5,), 0.68)",13.709517386400172
"((0.5,), 0.72)",13.734706958212909
"((0.5,), 0.76)",13.577425564521668
"((0.5,), 0.8)",14.330371782065209
"((0.5,), 0.84)",14.035287216814847
"((0.5,), 0.88)",13.945576024252588
"((0.5,), 0.92)",13.062602176996894
"((0.5,), 0.96)",13.951099508949833
"((0.5,), 1.0)",13.110359351461426
