state_action,q_value
"((2.0,), 0.0)",43.027581351486646
"((2.0,), 0.04)",39.222070664052175
"((2.0,), 0.08)",38.35813553083869
"((2.0,), 0.12)",39.18448986336363
"((2.0,), 0.16)",39.538218775538574
"((2.0,), 0.2)",38.87105409742467
"((2.0,), 0.24)",39.14799410345071
"((2.0,), 0.28)",39.25277669244324
"((2.0,), 0.32)",40.02606303674799
"((2.0,), 0.36)",38.600214073456314
"((2.0,), 0.4)",38.89330141499033
"((2.0,), 0.44)",39.05188087496678
"((2.0,), 0.48)",39.438748167799346
"((2.0,), 0.52)",38.32551485530738
"((2.0,), 0.56)",38.79648286741792
"((2.0,), 0.6)",38.945750567946284
"((2.0,), 0.64)",39.186184993083884
"((2.0,), 0.68)",39.14918518770566
"((2.0,), 0.72)",38.73646005909237
"((2.0,), 0.76)",39.510925408839285
"((2.0,), 0.8)",38.5558147930625
"((2.0,), 0.84)",38.25791757990743
"((2.0,), 0.88)",38.04336450604522
"((2.0,), 0.92)",39.15920324594052
"((2.0,), 0.96)",38.459061281128676
"((2.0,), 1.0)",38.598934747069094
