state_action,q_value
"((2.0,), 0.0)",78.99532460735013
"((2.0,), 0.04)",79.49242697026062
"((2.0,), 0.08)",79.62954939380731
"((2.0,), 0.12)",79.24798874784335
"((2.0,), 0.16)",79.68261704329652
"((2.0,), 0.2)",79.91252734818967
"((2.0,), 0.24)",78.42733254464096
"((2.0,), 0.28)",79.86446323066356
"((2.0,), 0.32)",79.80898055976365
"((2.0,), 0.36)",79.57811962736096
"((2.0,), 0.4)",79.26320061053663
"((2.0,), 0.44)",79.99713883254867
"((2.0,), 0.48)",79.76082474861576
"((2.0,), 0.52)",79.85594243833476
"((2.0,), 0.56)",79.636290390287
"((2.0,), 0.6)",79.82732454203946
"((2.0,), 0.64)",79.50328463687526
"((2.0,), 0.68)",79.99691211399289
"((2.0,), 0.72)",79.89175060641064
"((2.0,), 0.76)",79.115011921999
"((2.0,), 0.8)",79.60412598560522
"((2.0,), 0.84)",79.89585503150964
"((2.0,), 0.88)",79.39355960177713
"((2.0,), 0.92)",80.39403195123664
"((2.0,), 0.96)",79.77378315360643
"((2.0,), 1.0)",79.4153610238562
