state_action,q_value
"((1.0,), 0.0)",20.888953025845858
"((1.0,), 0.04)",20.5489092804718
"((1.0,), 0.08)",20.558781578326947
"((1.0,), 0.12)",20.524156633674952
"((1.0,), 0.16)",20.518394947731398
"((1.0,), 0.2)",20.51872851442558
"((1.0,), 0.24)",20.532397354891376
"((1.0,), 0.28)",20.51220324608319
"((1.0,), 0.32)",20.498956189677585
"((1.0,), 0.36)",20.499199696588352
"((1.0,), 0.4)",20.49693254440683
"((1.0,), 0.44)",20.48305946285715
"((1.0,), 0.48)",20.445936772966764
"((1.0,), 0.52)",20.430664229150395
"((1.0,), 0.56)",20.43600807188898
"((1.0,), 0.6)",20.41109189765699
"((1.0,), 0.64)",20.365958250215755
"((1.0,), 0.68)",20.313502986150294
"((1.0,), 0.72)",20.346704889527473
"((1.0,), 0.76)",20.2594404144208
"((1.0,), 0.8)",20.233956098642373
"((1.0,), 0.84)",20.23291208176085
"((1.0,), 0.88)",20.21526271806658
"((1.0,), 0.92)",20.183707712522455
"((1.0,), 0.96)",20.161729708056114
"((1.0,), 1.0)",20.14703740219037
