episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
100,0.585,2.34,8.509999999999998,-0.2955394410610517,1.0,0.04,8.0,-0.4670138888888889,1.9224999999999999,0.12,12.0,-0.34479166666666666,2.3425,1.3800000000000001,92.0,1.5802083333333332,1.5824999999999998,0.8,40.0,0.6940972222222221,2.6624999999999996
200,0.775,3.1,9.649999999999999,-0.12876171628830235,1.0,0.28,56.00000000000001,-0.27187500000000003,2.1574999999999998,0.44,44.0,-0.027430555555555562,2.4975,0.54,36.00000000000001,0.12534722222222217,2.8975,1.84,92.0,2.111458333333333,2.0975
300,0.445,1.78,7.67,-0.3779094354767758,1.0,0.12,24.0,-0.21840277777777778,1.4925000000000002,0.8,80.0,0.8204861111111112,1.3125,0.06,4.0,-0.31006944444444445,2.5525,0.8,40.0,0.8204861111111111,2.3125
400,0.505,2.02,8.03,-0.3545773686467233,1.0,0.48,96.0,0.27743055555555557,1.2825,0.0,0.0,-0.45590277777777777,2.2625,1.1400000000000001,76.00000000000001,1.2857638888888892,1.6224999999999998,0.4,20.0,0.15520833333333317,2.8625
500,0.41500000000000004,1.6600000000000001,7.49,-0.5249097441214869,1.0,0.08,16.0,-0.2524305555555555,1.4575,0.56,56.00000000000001,0.4809027777777779,1.4775,0.54,36.00000000000001,0.45034722222222223,1.9975,0.48,24.0,0.35868055555555556,2.5575
600,0.43500000000000005,1.7400000000000002,7.61,-0.11245720221125155,0.75,0.28,56.00000000000001,0.035069444444444514,1.3075,0.16,16.0,-0.14826388888888886,1.9275000000000002,0.18,12.0,-0.11770833333333336,2.4075,1.12,56.00000000000001,1.318402777777778,1.9675
700,0.545,2.18,8.27,-0.19465732352953502,1.0,0.3,60.0,-0.03368055555555551,1.5625,0.4,40.0,0.11909722222222224,1.9625,0.12,8.0,-0.3086805555555556,2.7424999999999997,1.36,68.0,1.585763888888889,2.0025
800,0.52,2.08,8.120000000000001,-0.23694778937630034,0.75,0.2,40.0,-0.16388888888888883,1.6,0.76,76.0,0.6916666666666667,1.54,0.48,32.0,0.2638888888888889,2.3200000000000003,0.64,32.0,0.5083333333333334,2.66
900,0.61,2.44,8.66,-0.4654752216813287,1.0,0.1,20.0,-0.3979166666666667,1.9249999999999998,0.92,92.0,0.8548611111111112,1.605,0.54,36.00000000000001,0.27430555555555547,2.485,0.88,44.0,0.79375,2.645
1000,0.49,1.96,7.94,-0.22287546672317426,0.75,0.1,20.0,-0.2895833333333333,1.625,0.24,24.0,-0.07569444444444454,1.985,1.1400000000000001,76.00000000000001,1.299305555555556,1.585,0.48,24.0,0.29097222222222213,2.745
