episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.705,2.82,9.23,-0.17774989402261832,1.0,0.32,64.0,-0.1475694444444445,0.96,96.0,0.8302083333333334,0.8999999999999999,60.0,0.7385416666666667,0.64,32.0,0.3413194444444445
400,0.6100000000000001,2.4400000000000004,8.660000000000002,-0.4180094767375033,1.0,0.16,32.0,-0.3062499999999999,0.72,72.0,0.5493055555555555,0.8400000000000001,56.00000000000001,0.7326388888888893,0.72,36.0,0.5493055555555555
600,0.505,2.02,8.030000000000001,-0.26139757044936807,1.0,0.46,92.0,0.246875,0.12,12.0,-0.27256944444444436,0.0,0.0,-0.45590277777777777,1.44,72.0,1.7440972222222222
800,0.33499999999999996,1.3399999999999999,7.01,-0.2597673714201818,1.0,0.02,4.0,-0.271875,0.36,36.0,0.24756944444444434,0.0,0.0,-0.30243055555555554,0.96,48.0,1.164236111111111
1000,0.485,1.94,7.91,-0.3067836639340069,1.0,0.08,16.0,-0.31562499999999993,0.36,36.0,0.11215277777777774,0.54,36.00000000000001,0.38715277777777773,0.96,48.0,1.0288194444444443
1200,0.7250000000000001,2.9000000000000004,9.350000000000001,0.0725007993200888,1.0,0.48,96.0,0.07881944444444447,0.48,48.0,0.07881944444444447,1.1400000000000001,76.00000000000001,1.087152777777778,0.8,40.0,0.5677083333333335
1400,0.715,2.86,9.29,-0.2821368942642959,1.0,0.06,12.0,-0.5538194444444445,0.88,88.0,0.6989583333333335,0.0,0.0,-0.6454861111111111,1.92,96.0,2.287847222222222
1600,0.22000000000000003,0.8800000000000001,6.32,-0.48148147789001117,1.0,0.16,32.0,0.04583333333333338,0.4,40.0,0.41250000000000003,0.0,0.0,-0.1986111111111111,0.32,16.0,0.2902777777777777
1800,0.065,0.26,5.390000000000001,0.038251381255934414,0.5,0.04,8.0,0.0024305555555555487,0.08,8.0,0.06354166666666666,0.06,4.0,0.03298611111111111,0.08,4.0,0.06354166666666666
2000,0.025,0.1,5.15,-0.32663314662963083,0.75,0.04,8.0,0.03854166666666667,0.0,0.0,-0.022569444444444444,0.06,4.0,0.06909722222222221,0.0,0.0,-0.022569444444444444
