episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.5549999999999999,2.2199999999999998,9.44,-0.23178262537823024,1.0,0.2,40.0,-0.23458333333333342,0.88,88.0,1.0120833333333334,0.42000000000000004,28.000000000000004,0.16875,0.72,36.0,0.71875
400,0.76,3.04,11.080000000000002,-0.20527045719614279,1.0,0.26,52.0,-0.34666666666666646,0.84,84.0,0.7166666666666667,0.18,12.0,-0.4933333333333335,1.76,88.0,2.4033333333333333
600,0.45,1.8,8.6,-0.18849089757710558,0.75,0.46,92.0,0.3558333333333334,0.12,12.0,-0.26750000000000007,0.18,12.0,-0.15749999999999997,1.04,52.0,1.4191666666666667
800,0.8200000000000001,3.2800000000000002,11.56,-0.03165298872333899,0.75,0.46,92.0,-0.045000000000000026,0.84,84.0,0.6516666666666667,1.26,84.0,1.4216666666666669,0.72,36.0,0.43166666666666664
1000,0.63,2.52,10.040000000000001,-0.44013781074232106,1.0,0.14,28.000000000000004,-0.4258333333333332,0.84,84.0,0.8574999999999999,0.8999999999999999,60.0,0.9674999999999998,0.64,32.0,0.4908333333333335
1200,0.52,2.08,9.16,-0.1949860714248024,1.0,0.46,92.0,0.28,0.96,96.0,1.1966666666666668,0.18,12.0,-0.23333333333333323,0.48,24.0,0.3166666666666667
1400,0.88,3.52,12.040000000000001,-0.14864864822531376,1.0,0.38,76.0,-0.2566666666666666,0.84,84.0,0.5866666666666667,0.30000000000000004,20.000000000000004,-0.4033333333333332,2.0,100.0,2.713333333333333
1600,0.58,2.32,9.639999999999999,-0.2475795287018705,0.75,0.5,100.0,0.2883333333333334,1.0,100.0,1.2049999999999998,0.18,12.0,-0.29833333333333345,0.64,32.0,0.5449999999999999
1800,0.7700000000000001,3.0800000000000005,11.160000000000002,0.007299270863464713,1.0,0.46,92.0,0.00916666666666692,0.84,84.0,0.7058333333333333,1.1400000000000001,76.00000000000001,1.2558333333333336,0.64,32.0,0.3391666666666666
2000,0.53,2.12,9.24,-0.26774420132024357,1.0,0.14,28.000000000000004,-0.31749999999999984,0.84,84.0,0.9658333333333333,0.18,12.0,-0.24416666666666664,0.96,48.0,1.1858333333333335
2200,0.2,0.8,6.6000000000000005,-0.38738738363769176,1.0,0.26,52.0,0.26,0.04,4.0,-0.14333333333333334,0.18,12.0,0.11333333333333338,0.32,16.0,0.37000000000000005
2400,0.32499999999999996,1.2999999999999998,7.6,-0.33942161176326135,1.0,0.44,88.0,0.45458333333333334,0.04,4.0,-0.27875,0.18,12.0,-0.022083333333333392,0.64,32.0,0.8212499999999999
2600,0.17500000000000002,0.7000000000000001,6.4,-0.22148460897310618,0.75,0.02,4.0,-0.15291666666666665,0.04,4.0,-0.11624999999999996,0.48,32.0,0.6904166666666667,0.16,8.0,0.10375000000000004
2800,0.49,1.96,8.92,-0.15098669050886437,1.0,0.14,28.000000000000004,-0.2741666666666666,0.36,36.0,0.12916666666666662,0.18,12.0,-0.20083333333333325,1.28,64.0,1.8158333333333334
3000,0.09,0.36,5.720000000000001,-0.41935483260492545,1.0,0.02,4.0,-0.060833333333333336,0.0,0.0,-0.0975,0.18,12.0,0.23249999999999998,0.16,8.0,0.19583333333333336
3200,0.145,0.58,6.16,-0.29111968872688254,1.0,0.38,76.0,0.5395833333333334,0.04,4.0,-0.08375000000000003,0.0,0.0,-0.15708333333333332,0.16,8.0,0.13624999999999998
3400,0.255,1.02,7.040000000000001,-0.24553845969889698,1.0,0.28,56.00000000000001,0.2370833333333333,0.52,52.0,0.6770833333333335,0.06,4.0,-0.16625000000000004,0.16,8.0,0.017083333333333332
3600,0.285,1.14,7.28,-0.22407015332997604,1.0,0.06,12.0,-0.19875000000000007,0.92,92.0,1.3779166666666667,0.0,0.0,-0.30874999999999997,0.16,8.0,-0.015416666666666669
3800,0.2,0.8,6.6000000000000005,-0.48872180115325903,1.0,0.28,56.00000000000001,0.2966666666666667,0.36,36.0,0.4433333333333333,0.0,0.0,-0.21666666666666667,0.16,8.0,0.0766666666666667
4000,0.35000000000000003,1.4000000000000001,7.800000000000001,-0.10330992846141251,1.0,0.26,52.0,0.09750000000000013,0.32,32.0,0.2075,0.66,44.0,0.8308333333333334,0.16,8.0,-0.08583333333333339
4200,0.1,0.4,5.800000000000001,-0.48872179779523983,0.75,0.06,12.0,0.0016666666666666705,0.0,0.0,-0.10833333333333332,0.18,12.0,0.2216666666666667,0.16,8.0,0.18500000000000003
4400,0.315,1.26,7.5200000000000005,-0.32198297287293,0.75,0.04,8.0,-0.26791666666666664,0.64,64.0,0.8320833333333334,0.42000000000000004,28.000000000000004,0.4287500000000001,0.16,8.0,-0.047916666666666635
4600,0.145,0.58,6.16,-0.29111968872688254,1.0,0.38,76.0,0.5395833333333334,0.04,4.0,-0.08375000000000003,0.0,0.0,-0.15708333333333332,0.16,8.0,0.13624999999999998
4800,0.05,0.2,5.4,-0.5855855684441198,0.75,0.08,16.0,0.0925,0.04,4.0,0.019166666666666676,0.0,0.0,-0.05416666666666666,0.08,4.0,0.09250000000000003
5000,0.41000000000000003,1.6400000000000001,8.28,-0.4053231926339256,1.0,0.0,0.0,-0.44416666666666665,0.84,84.0,1.0958333333333332,0.72,48.0,0.8758333333333334,0.08,4.0,-0.2975
5200,0.21,0.84,6.68,-0.2082379851640841,0.75,0.0,0.0,-0.22749999999999998,0.04,4.0,-0.15416666666666665,0.72,48.0,1.0924999999999998,0.08,4.0,-0.0808333333333334
5400,0.27,1.08,7.16,-0.21330089095218074,0.5,0.24,48.0,0.14749999999999996,0.04,4.0,-0.21916666666666665,0.72,48.0,1.0275,0.08,4.0,-0.14583333333333331
