state_action,q_value
"((1.5,), 0.0)",69.95319647459444
"((1.5,), 0.04)",69.49977545810368
"((1.5,), 0.08)",70.45191949430527
"((1.5,), 0.12)",69.73465477518963
"((1.5,), 0.16)",70.13475867332266
"((1.5,), 0.2)",69.2539184342129
"((1.5,), 0.24)",70.01408677653504
"((1.5,), 0.28)",69.75643901395736
"((1.5,), 0.32)",70.13098905158226
"((1.5,), 0.36)",70.42581616974489
"((1.5,), 0.4)",70.5039754444625
"((1.5,), 0.44)",70.0626345514267
"((1.5,), 0.48)",69.8570169513555
"((1.5,), 0.52)",70.03365963937631
"((1.5,), 0.56)",70.0516960266978
"((1.5,), 0.6)",70.45320745565176
"((1.5,), 0.64)",69.3643768703956
"((1.5,), 0.68)",69.28977285625524
"((1.5,), 0.72)",69.72357469156469
"((1.5,), 0.76)",70.1785566517922
"((1.5,), 0.8)",69.89939103222432
"((1.5,), 0.84)",70.0872082250699
"((1.5,), 0.88)",70.00075153495769
"((1.5,), 0.92)",69.9258222486157
"((1.5,), 0.96)",70.94515141866952
"((1.5,), 1.0)",69.8600461796853
