state_action,q_value
"((2.0,), 0.0)",67.94383110503867
"((2.0,), 0.04)",67.96702710905899
"((2.0,), 0.08)",68.68649056061
"((2.0,), 0.12)",68.33614203105003
"((2.0,), 0.16)",67.64639258448733
"((2.0,), 0.2)",68.60909894317712
"((2.0,), 0.24)",67.53284074328076
"((2.0,), 0.28)",67.36621057888982
"((2.0,), 0.32)",68.64462739351043
"((2.0,), 0.36)",68.10579649075292
"((2.0,), 0.4)",68.19267092883209
"((2.0,), 0.44)",68.0669741949532
"((2.0,), 0.48)",66.89484450332188
"((2.0,), 0.52)",66.67395205637223
"((2.0,), 0.56)",67.40759193895909
"((2.0,), 0.6)",67.11974048755201
"((2.0,), 0.64)",67.17977910518307
"((2.0,), 0.68)",67.20606988013749
"((2.0,), 0.72)",68.0363837335199
"((2.0,), 0.76)",67.53305431442679
"((2.0,), 0.8)",67.3164534768398
"((2.0,), 0.84)",67.79093157693124
"((2.0,), 0.88)",70.2963951566044
"((2.0,), 0.92)",67.76668432572743
"((2.0,), 0.96)",67.81611533368421
"((2.0,), 1.0)",67.2300225920561
