episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.705,2.82,12.05,-0.17774989442793832,1.0,0.32,64.0,-0.20659722222222224,0.96,96.0,1.1622916666666665,0.8999999999999999,60.0,1.033958333333333,0.64,32.0,0.47784722222222237
400,0.6100000000000001,2.4400000000000004,11.100000000000001,-0.4180094772904983,1.0,0.16,32.0,-0.42874999999999996,0.72,72.0,0.7690277777777779,0.8400000000000001,56.00000000000001,1.0256944444444445,0.72,36.0,0.7690277777777778
600,0.505,2.02,10.05,-0.26139757065600744,1.0,0.46,92.0,0.34562500000000007,0.12,12.0,-0.3815972222222221,0.0,0.0,-0.638263888888889,1.44,72.0,2.441736111111111
800,0.665,2.66,11.65,-0.4023044856865061,1.0,0.02,4.0,-0.7977083333333334,0.36,36.0,-0.07048611111111101,1.32,88.0,1.9828472222222226,0.96,48.0,1.212847222222222
1000,0.485,1.94,9.85,-0.30678366429691506,1.0,0.08,16.0,-0.4418749999999999,0.36,36.0,0.1570138888888888,0.54,36.00000000000001,0.5420138888888889,0.96,48.0,1.440347222222222
1200,0.7250000000000001,2.9000000000000004,12.250000000000002,0.07250079907633311,1.0,0.48,96.0,0.11034722222222243,0.48,48.0,0.11034722222222243,1.1400000000000001,76.00000000000001,1.522013888888889,0.8,40.0,0.7947916666666668
1400,0.715,2.86,12.149999999999999,-0.2821368944244136,1.0,0.06,12.0,-0.7753472222222221,0.88,88.0,0.9785416666666669,0.0,0.0,-0.9036805555555554,1.92,96.0,3.20298611111111
1600,0.13,0.52,6.3,-0.23769338780160876,1.0,0.04,8.0,-0.07875000000000003,0.4,40.0,0.6912500000000001,0.0,0.0,-0.16430555555555554,0.08,4.0,0.006805555555555565
1800,0.69,2.76,11.9,0.05843621478886074,1.0,0.44,88.0,0.06902777777777785,0.96,96.0,1.1812500000000001,0.48,32.0,0.15458333333333346,0.88,44.0,1.0101388888888887
2000,0.18,0.72,6.8,-0.17761557030260122,0.75,0.04,8.0,-0.14194444444444443,0.48,48.0,0.7991666666666667,0.12,8.0,0.029166666666666674,0.08,4.0,-0.05638888888888889
2200,0.5850000000000001,2.3400000000000003,10.850000000000001,-0.18401266227317636,1.0,0.24,48.0,-0.22604166666666667,0.92,92.0,1.2284027777777782,0.78,52.0,0.9289583333333336,0.4,20.0,0.11618055555555562
2400,0.23,0.92,7.300000000000001,-0.32047159554319493,0.75,0.36,72.0,0.4793055555555555,0.56,56.00000000000001,0.9070833333333335,0.0,0.0,-0.2906944444444445,0.0,0.0,-0.2906944444444445
2600,0.375,1.5,8.75,-0.4445964418733508,1.0,0.34,68.0,0.2532638888888889,0.44,44.0,0.4671527777777778,0.72,48.0,1.0660416666666666,0.0,0.0,-0.4739583333333333
2800,0.35,1.4,8.5,-0.06190975751075567,0.75,0.26,52.0,0.11374999999999993,0.32,32.0,0.24208333333333337,0.18,12.0,-0.05736111111111119,0.64,32.0,0.9265277777777778
3000,0.73,2.92,12.3,-0.23089770302043156,1.0,0.3,60.0,-0.2809722222222223,0.92,92.0,1.0451388888888888,0.18,12.0,-0.537638888888889,1.52,76.0,2.3284722222222225
