state_action,q_value
"((0.5,), 0.0)",60.60921128001443
"((0.5,), 0.04)",59.12395750322571
"((0.5,), 0.08)",60.355140473360855
"((0.5,), 0.12)",60.93935868087072
"((0.5,), 0.16)",59.87750629556733
"((0.5,), 0.2)",59.40478900990374
"((0.5,), 0.24)",60.584416841229924
"((0.5,), 0.28)",60.24902020262676
"((0.5,), 0.32)",60.24092844179802
"((0.5,), 0.36)",60.377836204931334
"((0.5,), 0.4)",61.62005895110826
"((0.5,), 0.44)",60.233304896488136
"((0.5,), 0.48)",60.70829692010607
"((0.5,), 0.52)",60.03793058215118
"((0.5,), 0.56)",61.09330134677024
"((0.5,), 0.6)",60.10142126978558
"((0.5,), 0.64)",61.212679044468466
"((0.5,), 0.68)",60.97080011932832
"((0.5,), 0.72)",64.63101363899348
"((0.5,), 0.76)",60.541109658567876
"((0.5,), 0.8)",60.515606193323855
"((0.5,), 0.84)",60.37584478158054
"((0.5,), 0.88)",60.09954119976992
"((0.5,), 0.92)",61.557481744359265
"((0.5,), 0.96)",58.80498539210887
"((0.5,), 1.0)",59.66348322832656
