state_action,q_value
"((2.0,), 0.0)",79.4503783555607
"((2.0,), 0.04)",79.4365492058421
"((2.0,), 0.08)",79.38822246482194
"((2.0,), 0.12)",79.44112989219595
"((2.0,), 0.16)",79.43590625371407
"((2.0,), 0.2)",79.50949036182968
"((2.0,), 0.24)",79.15754563439694
"((2.0,), 0.28)",79.37896287090484
"((2.0,), 0.32)",79.38622003504139
"((2.0,), 0.36)",79.16681904814145
"((2.0,), 0.4)",79.56248527295642
"((2.0,), 0.44)",79.34608043931863
"((2.0,), 0.48)",79.27042067159093
"((2.0,), 0.52)",79.31740149229982
"((2.0,), 0.56)",79.11915073654752
"((2.0,), 0.6)",79.55057191795304
"((2.0,), 0.64)",79.33403262242588
"((2.0,), 0.68)",79.43309018198468
"((2.0,), 0.72)",78.91295429618766
"((2.0,), 0.76)",79.50592048177
"((2.0,), 0.8)",79.22751588109777
"((2.0,), 0.84)",79.13051759698811
"((2.0,), 0.88)",79.42311958278547
"((2.0,), 0.92)",80.25528310035563
"((2.0,), 0.96)",79.47657354050668
"((2.0,), 1.0)",79.1816282780579
