state_action,q_value
"((1.5,), 0.0)",76.18447649939485
"((1.5,), 0.04)",75.58106571428503
"((1.5,), 0.08)",75.61935447684375
"((1.5,), 0.12)",75.27426665935718
"((1.5,), 0.16)",74.54628846012639
"((1.5,), 0.2)",74.82197319873775
"((1.5,), 0.24)",75.49702379081444
"((1.5,), 0.28)",75.44003789937787
"((1.5,), 0.32)",75.85964882665932
"((1.5,), 0.36)",75.33862107220503
"((1.5,), 0.4)",75.59721135710977
"((1.5,), 0.44)",75.90848159978395
"((1.5,), 0.48)",75.78339670480115
"((1.5,), 0.52)",75.44782230227698
"((1.5,), 0.56)",75.27960416927256
"((1.5,), 0.6)",75.4429482232058
"((1.5,), 0.64)",75.78381278911682
"((1.5,), 0.68)",75.12270523316403
"((1.5,), 0.72)",75.98883904204206
"((1.5,), 0.76)",75.09549585582658
"((1.5,), 0.8)",75.15444874895923
"((1.5,), 0.84)",75.2330991259805
"((1.5,), 0.88)",75.24639373296768
"((1.5,), 0.92)",75.52815067122684
"((1.5,), 0.96)",73.90024319552707
"((1.5,), 1.0)",76.32795022379467
