state_action,q_value
"((0.5,), 0.0)",77.3444306603342
"((0.5,), 0.04)",74.98389342833748
"((0.5,), 0.08)",74.37523775206718
"((0.5,), 0.12)",74.15450371333708
"((0.5,), 0.16)",75.44227229535781
"((0.5,), 0.2)",76.48132278150766
"((0.5,), 0.24)",76.5392472532206
"((0.5,), 0.28)",77.43136508181131
"((0.5,), 0.32)",75.02322750836356
"((0.5,), 0.36)",73.66699889411368
"((0.5,), 0.4)",74.73945626191258
"((0.5,), 0.44)",75.1924800503941
"((0.5,), 0.48)",75.97203071171535
"((0.5,), 0.52)",74.97229609443704
"((0.5,), 0.56)",75.11717060905612
"((0.5,), 0.6)",75.32007253911362
"((0.5,), 0.64)",76.74721115296505
"((0.5,), 0.68)",83.85620577199577
"((0.5,), 0.72)",75.23482687196378
"((0.5,), 0.76)",75.53885288628412
"((0.5,), 0.8)",77.43976683776297
"((0.5,), 0.84)",75.19171064401264
"((0.5,), 0.88)",73.35639174415313
"((0.5,), 0.92)",76.87039074047594
"((0.5,), 0.96)",74.81069924340738
"((0.5,), 1.0)",75.0914556394157
