state_action,q_value
"((2.0,), 0.0)",78.02238125192767
"((2.0,), 0.04)",78.41514631412826
"((2.0,), 0.08)",79.14338441632508
"((2.0,), 0.12)",77.7804930844561
"((2.0,), 0.16)",77.09311012948527
"((2.0,), 0.2)",78.88410426025084
"((2.0,), 0.24)",77.80968722812639
"((2.0,), 0.28)",77.39709248860373
"((2.0,), 0.32)",76.15893780381177
"((2.0,), 0.36)",78.01662281500704
"((2.0,), 0.4)",78.78994740525631
"((2.0,), 0.44)",78.084480182108
"((2.0,), 0.48)",78.32715844495642
"((2.0,), 0.52)",78.93285438202814
"((2.0,), 0.56)",78.356683907935
"((2.0,), 0.6)",77.57276058202017
"((2.0,), 0.64)",77.91926152562866
"((2.0,), 0.68)",77.7676819400059
"((2.0,), 0.72)",77.10317438345689
"((2.0,), 0.76)",77.86987910282237
"((2.0,), 0.8)",77.81013741177352
"((2.0,), 0.84)",77.8711020781861
"((2.0,), 0.88)",77.18158562190722
"((2.0,), 0.92)",78.26662120136626
"((2.0,), 0.96)",78.2332859763306
"((2.0,), 1.0)",81.5677527362626
