state_action,q_value
"((2.0,), 0.0)",74.81395419576936
"((2.0,), 0.04)",74.93267333640254
"((2.0,), 0.08)",75.01436447266038
"((2.0,), 0.12)",74.93431116086013
"((2.0,), 0.16)",74.80934384284551
"((2.0,), 0.2)",74.96069248764563
"((2.0,), 0.24)",74.85903936737044
"((2.0,), 0.28)",74.76513883166518
"((2.0,), 0.32)",75.20365297992376
"((2.0,), 0.36)",75.1619825857639
"((2.0,), 0.4)",74.9060425903005
"((2.0,), 0.44)",75.23418369037338
"((2.0,), 0.48)",74.94714187832473
"((2.0,), 0.52)",75.02719258994026
"((2.0,), 0.56)",75.00704174262695
"((2.0,), 0.6)",74.62032992556519
"((2.0,), 0.64)",74.98992518670643
"((2.0,), 0.68)",75.53854670215422
"((2.0,), 0.72)",75.12453775896071
"((2.0,), 0.76)",74.90339392309123
"((2.0,), 0.8)",74.98600540607272
"((2.0,), 0.84)",74.97087137333395
"((2.0,), 0.88)",75.18269774367292
"((2.0,), 0.92)",74.9308456933256
"((2.0,), 0.96)",74.81049954992137
"((2.0,), 1.0)",74.82279797789215
