state_action,q_value
"((0.5,), 0.0)",78.56518412273778
"((0.5,), 0.04)",78.32462729829518
"((0.5,), 0.08)",78.3239564834286
"((0.5,), 0.12)",78.4765499613909
"((0.5,), 0.16)",78.55731345608434
"((0.5,), 0.2)",78.35962681888134
"((0.5,), 0.24)",78.05447685286514
"((0.5,), 0.28)",79.02716091820841
"((0.5,), 0.32)",78.49440251034227
"((0.5,), 0.36)",78.22225202050028
"((0.5,), 0.4)",78.80990662500086
"((0.5,), 0.44)",78.0940059836736
"((0.5,), 0.48)",78.81818181770487
"((0.5,), 0.52)",78.58931353406452
"((0.5,), 0.56)",78.29869415849113
"((0.5,), 0.6)",78.68711500454005
"((0.5,), 0.64)",78.6148276852864
"((0.5,), 0.68)",78.606707362902
"((0.5,), 0.72)",78.66463872645251
"((0.5,), 0.76)",78.3308734849685
"((0.5,), 0.8)",78.52875134126461
"((0.5,), 0.84)",78.40726301091925
"((0.5,), 0.88)",79.19081023869018
"((0.5,), 0.92)",78.14457519411991
"((0.5,), 0.96)",78.33829777546214
"((0.5,), 1.0)",79.16498905739468
