state_action,q_value
"((0.5,), 0.0)",68.94857172954562
"((0.5,), 0.04)",68.46614119309295
"((0.5,), 0.08)",66.27737381433194
"((0.5,), 0.12)",68.22730058763669
"((0.5,), 0.16)",68.82947733235096
"((0.5,), 0.2)",68.16826665288654
"((0.5,), 0.24)",67.76507461501727
"((0.5,), 0.28)",68.21544633924421
"((0.5,), 0.32)",69.40848504077806
"((0.5,), 0.36)",68.78307273100668
"((0.5,), 0.4)",69.03912432609545
"((0.5,), 0.44)",67.36984502971218
"((0.5,), 0.48)",68.9696780373591
"((0.5,), 0.52)",67.81329167651403
"((0.5,), 0.56)",66.85729879263337
"((0.5,), 0.6)",67.46281640055469
"((0.5,), 0.64)",69.20799003454412
"((0.5,), 0.68)",67.97881536978524
"((0.5,), 0.72)",68.30236192630339
"((0.5,), 0.76)",68.91000889354518
"((0.5,), 0.8)",69.32384083242319
"((0.5,), 0.84)",68.52534550292084
"((0.5,), 0.88)",68.98673305269749
"((0.5,), 0.92)",68.55451628292083
"((0.5,), 0.96)",67.98291164553365
"((0.5,), 1.0)",71.40777492927859
