episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
100,0.9750000000000001,3.9000000000000004,14.750000000000004,-0.32035115678912174,1.0,0.12,24.0,-0.975625,3.7925000000000004,0.64,64.0,0.13659722222222243,3.7725000000000004,1.1400000000000001,76.00000000000001,1.2060416666666671,3.7725000000000004,2.0,100.0,3.045486111111112,3.4125000000000005
200,0.84,3.36,13.399999999999999,-0.23627075310613255,1.0,0.38,76.0,-0.24888888888888888,3.06,0.16,16.0,-0.7194444444444442,3.78,0.8999999999999999,60.0,0.8633333333333332,3.54,1.92,96.0,3.0449999999999995,3.02
300,0.9649999999999999,3.8599999999999994,14.649999999999999,-0.27755491831363654,1.0,0.24,48.0,-0.7063194444444445,3.6374999999999993,0.96,96.0,0.8336805555555555,3.4174999999999995,0.8999999999999999,60.0,0.7053472222222221,3.9774999999999996,1.76,88.0,2.544791666666667,3.6174999999999997
400,0.97,3.88,14.7,-0.31761707507000225,1.0,0.12,24.0,-0.9693055555555558,3.775,0.68,68.0,0.22847222222222213,3.715,1.08,72.00000000000001,1.0840277777777783,3.815,2.0,100.0,3.0518055555555557,3.395
500,0.6950000000000001,2.7800000000000002,11.950000000000003,-0.22900626633334986,1.0,0.12,24.0,-0.6217361111111113,2.8125,0.56,56.00000000000001,0.31937500000000013,2.8725,0.42000000000000004,28.000000000000004,0.019930555555555646,3.5125,1.68,84.0,2.714930555555555,2.7525000000000004
600,0.875,3.5,13.75,-0.31943682524880757,1.0,0.12,24.0,-0.849236111111111,3.4425,0.96,96.0,0.9474305555555557,3.1025,0.66,44.0,0.30576388888888895,3.9025,1.76,88.0,2.658541666666667,3.3025
700,0.915,3.66,14.149999999999999,-0.16458527448355653,1.0,0.34,68.0,-0.42923611111111104,3.3625000000000003,0.96,96.0,0.8968749999999998,3.2425,0.6000000000000001,40.00000000000001,0.1268750000000003,4.1025,1.76,88.0,2.6079861111111113,3.4425
800,0.605,2.42,11.049999999999997,-0.4688524581157558,1.0,0.3,60.0,-0.12298611111111118,2.3175,1.0,100.0,1.3742361111111108,2.1174999999999997,0.0,0.0,-0.7646527777777777,3.6174999999999997,1.12,56.00000000000001,1.6309027777777778,2.9974999999999996
900,0.755,3.02,12.55,-0.24822694991043392,1.0,0.12,24.0,-0.6975694444444445,3.0225,0.96,96.0,1.099097222222222,2.6825,0.18,12.0,-0.5692361111111109,3.9625000000000004,1.76,88.0,2.810208333333333,2.8825000000000003
1000,0.93,3.72,14.300000000000002,-0.1444688181832754,1.0,0.34,68.0,-0.4481944444444443,3.4150000000000005,0.96,96.0,0.8779166666666669,3.2950000000000004,0.42000000000000004,28.000000000000004,-0.27708333333333307,4.335000000000001,2.0,100.0,3.1023611111111116,3.2550000000000003
