state_action,q_value
"((2.0,), 0.0)",78.36296108626367
"((2.0,), 0.04)",78.31209468333431
"((2.0,), 0.08)",78.35991055372261
"((2.0,), 0.12)",78.3438419058688
"((2.0,), 0.16)",78.37252424442653
"((2.0,), 0.2)",78.37515172147147
"((2.0,), 0.24)",78.32231525665668
"((2.0,), 0.28)",78.35570051660977
"((2.0,), 0.32)",78.3513104492876
"((2.0,), 0.36)",78.3737363948231
"((2.0,), 0.4)",78.32951606893246
"((2.0,), 0.44)",78.36374820009904
"((2.0,), 0.48)",78.3605689685301
"((2.0,), 0.52)",78.33241167107678
"((2.0,), 0.56)",78.32226362273029
"((2.0,), 0.6)",78.36786767391598
"((2.0,), 0.64)",78.342139581582
"((2.0,), 0.68)",78.31183073539279
"((2.0,), 0.72)",78.33556259438542
"((2.0,), 0.76)",78.53511729613123
"((2.0,), 0.8)",78.33624984354137
"((2.0,), 0.84)",78.3272719226451
"((2.0,), 0.88)",78.33593910923543
"((2.0,), 0.92)",78.3563087290863
"((2.0,), 0.96)",78.37520670320886
"((2.0,), 1.0)",78.37874061175542
