episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley
200,0.275,1.1,6.6499999999999995,-0.16504854072785546,1.0,0.42,84.0,0.3934027777777779,0.32,32.0,0.240625,0.12,8.0,-0.06493055555555559,0.24,12.0,0.11840277777777775
400,0.895,3.58,10.369999999999997,-0.3082829596850425,0.75,0.1,20.0,-0.6552083333333334,0.12,12.0,-0.6246527777777777,1.44,96.0,1.3920138888888889,1.92,96.0,2.1253472222222225
600,0.5499999999999999,2.1999999999999997,8.299999999999999,-0.20376175499190174,1.0,0.04,8.0,-0.43541666666666673,0.0,0.0,-0.49652777777777773,0.24,16.0,-0.1298611111111112,1.92,96.0,2.436805555555555
800,0.63,2.52,8.78,-0.4101151717423306,1.0,0.22,44.0,-0.2326388888888889,0.0,0.0,-0.56875,1.02,68.0,0.9895833333333333,1.28,64.0,1.3868055555555556
1000,0.475,1.9,7.85,-0.3255456489955204,1.0,0.44,88.0,0.2434027777777778,0.04,4.0,-0.3677083333333332,1.02,68.0,1.1295138888888887,0.4,20.0,0.18229166666666666
1200,0.335,1.34,7.01,-0.24080729787848343,1.0,0.08,16.0,-0.1802083333333333,0.0,0.0,-0.30243055555555554,1.02,68.0,1.2559027777777776,0.24,12.0,0.06423611111111115
1400,0.36500000000000005,1.4600000000000002,7.19,-0.21842328242185372,0.75,0.08,16.0,-0.20729166666666665,0.04,4.0,-0.26840277777777766,1.02,68.0,1.2288194444444442,0.32,16.0,0.159375
1600,0.48500000000000004,1.9400000000000002,7.91,-0.2773257084498133,1.0,0.38,76.0,0.14270833333333335,0.0,0.0,-0.4378472222222223,1.32,88.0,1.5788194444444448,0.24,12.0,-0.07118055555555552
1800,0.335,1.34,7.01,-0.24080729787848343,1.0,0.08,16.0,-0.1802083333333333,0.0,0.0,-0.30243055555555554,1.02,68.0,1.2559027777777776,0.24,12.0,0.06423611111111115
2000,0.49000000000000005,1.9600000000000002,7.94,-0.1638872905830948,1.0,0.16,32.0,-0.19791666666666663,0.48,48.0,0.2909722222222222,1.08,72.00000000000001,1.207638888888889,0.24,12.0,-0.0756944444444445
2200,0.24,0.96,6.4399999999999995,-0.2736842089174516,0.75,0.06,12.0,-0.12500000000000003,0.0,0.0,-0.21666666666666665,0.66,44.0,0.7916666666666666,0.24,12.0,0.14999999999999997
2400,0.7749999999999999,3.0999999999999996,9.649999999999999,-0.3056379815394943,1.0,0.06,12.0,-0.6079861111111111,0.32,32.0,-0.21076388888888897,0.96,64.0,0.7670138888888888,1.76,88.0,1.989236111111111
2600,0.5249999999999999,2.0999999999999996,8.149999999999999,-0.12626551991525403,1.0,0.2,40.0,-0.1684027777777778,0.16,16.0,-0.2295138888888889,1.5,100.0,1.8177083333333333,0.24,12.0,-0.10729166666666666
2800,0.495,1.98,7.970000000000001,-0.1819819814243886,0.75,0.04,8.0,-0.38576388888888885,0.08,8.0,-0.3246527777777777,0.18,12.0,-0.17187500000000006,1.68,84.0,2.119791666666667
3000,0.195,0.78,6.17,-0.21379309862658724,0.75,0.08,16.0,-0.05381944444444442,0.28,28.000000000000004,0.25173611111111116,0.18,12.0,0.09895833333333331,0.24,12.0,0.190625
3200,0.26999999999999996,1.0799999999999998,6.620000000000001,0.0014184417559680584,1.0,0.26,52.0,0.1534722222222222,0.48,48.0,0.48958333333333326,0.18,12.0,0.031249999999999944,0.16,8.0,0.0006944444444444385
3400,0.245,0.98,6.470000000000001,-0.43186440398388526,1.0,0.0,0.0,-0.22118055555555557,0.32,32.0,0.2677083333333333,0.18,12.0,0.05381944444444445,0.48,24.0,0.5121527777777778
3600,0.315,1.26,6.890000000000001,-0.25363889637334136,1.0,0.0,0.0,-0.28437500000000004,0.92,92.0,1.1211805555555558,0.18,12.0,-0.009375000000000078,0.16,8.0,-0.039930555555555566
3800,0.17500000000000002,0.7000000000000001,6.050000000000001,-0.188386223212321,0.75,0.44,88.0,0.5142361111111112,0.04,4.0,-0.09687499999999999,0.06,4.0,-0.06631944444444443,0.16,8.0,0.08645833333333336
4000,0.15,0.6,5.9,-0.30421216555683994,1.0,0.38,76.0,0.4451388888888889,0.0,0.0,-0.13541666666666669,0.06,4.0,-0.04375,0.16,8.0,0.10902777777777779
4200,0.095,0.38,5.57,-0.5404813907295702,1.0,0.16,32.0,0.15868055555555555,0.0,0.0,-0.08576388888888889,0.06,4.0,0.005902777777777772,0.16,8.0,0.15868055555555555
4400,0.10500000000000001,0.42000000000000004,5.63,-0.4497528761527376,1.0,0.2,40.0,0.21076388888888886,0.0,0.0,-0.09479166666666666,0.06,4.0,-0.003124999999999988,0.16,8.0,0.14965277777777775
4600,0.05,0.2,5.3,-0.22648083008316244,0.75,0.0,0.0,-0.04513888888888889,0.04,4.0,0.015972222222222218,0.0,0.0,-0.04513888888888889,0.16,8.0,0.19930555555555554
4800,0.19500000000000003,0.7800000000000001,6.17,-0.512639024917694,1.0,0.34,68.0,0.34340277777777783,0.28,28.000000000000004,0.25173611111111116,0.0,0.0,-0.17604166666666665,0.16,8.0,0.0684027777777778
5000,0.04,0.16,5.24,-0.17333332770133336,0.5,0.0,0.0,-0.03611111111111111,0.0,0.0,-0.03611111111111111,0.0,0.0,-0.03611111111111111,0.16,8.0,0.2083333333333333
5200,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
5400,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
5600,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
5800,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
6000,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
6200,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
6400,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
6600,0.31500000000000006,1.2600000000000002,6.890000000000001,-0.30322102785883875,1.0,0.38,76.0,0.29618055555555556,0.8,80.0,0.9378472222222223,0.0,0.0,-0.284375,0.08,4.0,-0.16215277777777773
6800,0.275,1.1,6.65,-0.3403141342883842,1.0,0.38,76.0,0.33229166666666665,0.64,64.0,0.7295138888888889,0.0,0.0,-0.24826388888888887,0.08,4.0,-0.12604166666666666
7000,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
7200,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
7400,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
7600,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
7800,0.115,0.46,5.6899999999999995,-0.2177713011601008,0.75,0.38,76.0,0.4767361111111112,0.0,0.0,-0.10381944444444444,0.0,0.0,-0.10381944444444444,0.08,4.0,0.018402777777777816
8000,0.43499999999999994,1.7399999999999998,7.609999999999999,-0.36566440222013785,1.0,0.38,76.0,0.18784722222222228,0.96,96.0,1.0739583333333333,0.0,0.0,-0.3927083333333333,0.4,20.0,0.21840277777777778
