state_action,q_value
"((1.5,), 0.0)",33.683860714282275
"((1.5,), 0.04)",33.28769841416354
"((1.5,), 0.08)",34.47058110916987
"((1.5,), 0.12)",33.33779065181045
"((1.5,), 0.16)",32.98973585349944
"((1.5,), 0.2)",32.98062399910464
"((1.5,), 0.24)",33.25255954587803
"((1.5,), 0.28)",32.91603679599104
"((1.5,), 0.32)",33.089119540392446
"((1.5,), 0.36)",32.99940710183049
"((1.5,), 0.4)",33.23517019716282
"((1.5,), 0.44)",33.162886076771066
"((1.5,), 0.48)",32.866836125364365
"((1.5,), 0.52)",32.88739650475133
"((1.5,), 0.56)",32.96002623602956
"((1.5,), 0.6)",32.78845037467032
"((1.5,), 0.64)",33.06248790716521
"((1.5,), 0.68)",33.00069512998129
"((1.5,), 0.72)",32.91575469887053
"((1.5,), 0.76)",33.03145339084292
"((1.5,), 0.8)",33.38485404811472
"((1.5,), 0.84)",32.939185226578914
"((1.5,), 0.88)",32.97008158946061
"((1.5,), 0.92)",33.07819339262163
"((1.5,), 0.96)",33.296980007857584
"((1.5,), 1.0)",33.22868540149705
