state_action,q_value
"((2.0,), 0.0)",47.45314130214024
"((2.0,), 0.04)",43.363132975901415
"((2.0,), 0.08)",44.38788018583541
"((2.0,), 0.12)",43.548189543129226
"((2.0,), 0.16)",43.574716579286886
"((2.0,), 0.2)",43.574359430506696
"((2.0,), 0.24)",43.57582266429075
"((2.0,), 0.28)",44.14910117499887
"((2.0,), 0.32)",43.43341504910719
"((2.0,), 0.36)",43.449801472276334
"((2.0,), 0.4)",44.104405834947684
"((2.0,), 0.44)",44.25973424649484
"((2.0,), 0.48)",44.103771124483146
"((2.0,), 0.52)",44.09111189076812
"((2.0,), 0.56)",43.57164577537382
"((2.0,), 0.6)",44.04304672024682
"((2.0,), 0.64)",43.419424798925604
"((2.0,), 0.68)",44.166955550881475
"((2.0,), 0.72)",43.81865881692875
"((2.0,), 0.76)",43.629442534283704
"((2.0,), 0.8)",44.03901115538807
"((2.0,), 0.84)",44.38490201130885
"((2.0,), 0.88)",43.86997761601265
"((2.0,), 0.92)",43.59995985303324
"((2.0,), 0.96)",43.982319947608715
"((2.0,), 1.0)",44.30478015782383
