state_action,q_value
"((2.0,), 0.0)",49.63940058915898
"((2.0,), 0.04)",41.30068387149617
"((2.0,), 0.08)",41.71769485814056
"((2.0,), 0.12)",42.21755189980091
"((2.0,), 0.16)",41.546066364313916
"((2.0,), 0.2)",42.13671022527921
"((2.0,), 0.24)",41.43024064920259
"((2.0,), 0.28)",41.39612232064213
"((2.0,), 0.32)",42.22549236363396
"((2.0,), 0.36)",42.68004190388576
"((2.0,), 0.4)",41.5278807244155
"((2.0,), 0.44)",41.71252197825636
"((2.0,), 0.48)",41.82406771641902
"((2.0,), 0.52)",41.86221528111724
"((2.0,), 0.56)",42.99838796177888
"((2.0,), 0.6)",41.94123826498409
"((2.0,), 0.64)",41.838236118577996
"((2.0,), 0.68)",41.87692660841225
"((2.0,), 0.72)",42.24903578111482
"((2.0,), 0.76)",42.38194580939563
"((2.0,), 0.8)",42.30782530550816
"((2.0,), 0.84)",41.495297335686494
"((2.0,), 0.88)",42.026551476096245
"((2.0,), 0.92)",42.61560414724236
"((2.0,), 0.96)",42.094013259541924
"((2.0,), 1.0)",41.437380718461476
