state_action,q_value
"((1.5,), 0.0)",31.11723852640346
"((1.5,), 0.04)",28.582821920088257
"((1.5,), 0.08)",28.538064073320005
"((1.5,), 0.12)",28.468056420006537
"((1.5,), 0.16)",28.464372586729098
"((1.5,), 0.2)",28.49685534769198
"((1.5,), 0.24)",28.416563388489692
"((1.5,), 0.28)",28.612902901748658
"((1.5,), 0.32)",28.406248758505225
"((1.5,), 0.36)",28.625804904628026
"((1.5,), 0.4)",28.665152887009256
"((1.5,), 0.44)",28.51500061944895
"((1.5,), 0.48)",28.55442965069273
"((1.5,), 0.52)",28.476323044033414
"((1.5,), 0.56)",28.646961805774232
"((1.5,), 0.6)",28.582084824203307
"((1.5,), 0.64)",28.43220532592373
"((1.5,), 0.68)",28.502934430455518
"((1.5,), 0.72)",28.309358790465797
"((1.5,), 0.76)",28.332792236219476
"((1.5,), 0.8)",28.379856454908712
"((1.5,), 0.84)",28.522514254780052
"((1.5,), 0.88)",28.369190494573502
"((1.5,), 0.92)",28.693527567927358
"((1.5,), 0.96)",28.44181493220579
"((1.5,), 1.0)",28.36351425227852
