episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
2300,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,1.0,100.0,1.8229166666666667,0.875,0.0,0.0,-0.3159722222222222,2.375,0.0,0.0,-0.3159722222222222,2.875
2400,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
2500,0.5,2.0,10.0,-0.17333333301150455,0.5,0.0,0.0,-0.6319444444444444,2.25,0.0,0.0,-0.6319444444444444,2.75,0.0,0.0,-0.6319444444444444,3.25,2.0,100.0,3.6458333333333335,1.75
2600,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
2700,0.625,2.5,11.25,-0.32663316528058806,0.75,0.0,0.0,-0.7899305555555555,2.6875,0.0,0.0,-0.7899305555555555,3.1875,1.5,100.0,2.418402777777778,2.1875,1.0,50.0,1.3489583333333333,3.1875
2800,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
2900,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
3000,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
3100,0.375,1.5,8.75,-0.28467153207510854,0.75,0.5,100.0,0.5954861111111112,1.3125,0.0,0.0,-0.4739583333333333,2.3125,0.0,0.0,-0.4739583333333333,2.8125,1.0,50.0,1.6649305555555558,2.3125
3200,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
3300,0.625,2.5,11.25,-0.32663316528058806,0.75,0.0,0.0,-0.7899305555555555,2.6875,0.0,0.0,-0.7899305555555555,3.1875,1.5,100.0,2.418402777777778,2.1875,1.0,50.0,1.3489583333333333,3.1875
3400,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
3500,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
3600,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
3700,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
3800,0.3125,1.25,8.125,-0.22648083553364562,0.5,0.25,50.0,0.13975694444444442,1.34375,0.0,0.0,-0.39496527777777773,2.09375,0.0,0.0,-0.39496527777777773,2.59375,1.0,50.0,1.743923611111111,2.09375
3900,0.5,2.0,10.0,-0.17333333301150455,0.5,0.0,0.0,-0.6319444444444444,2.25,0.0,0.0,-0.6319444444444444,2.75,0.0,0.0,-0.6319444444444444,3.25,2.0,100.0,3.6458333333333335,1.75
4000,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
4100,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
4200,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,0.0,0.0,-0.3159722222222222,1.875,0.0,0.0,-0.3159722222222222,2.375,1.0,50.0,1.8229166666666667,1.875
