state_action,q_value
"((1.5,), 0.0)",66.17456585457298
"((1.5,), 0.04)",65.91738348685203
"((1.5,), 0.08)",65.70667732210137
"((1.5,), 0.12)",65.96165032853469
"((1.5,), 0.16)",65.96325907689442
"((1.5,), 0.2)",65.74912070896012
"((1.5,), 0.24)",65.75034730142633
"((1.5,), 0.28)",65.70160284914324
"((1.5,), 0.32)",66.32406284726376
"((1.5,), 0.36)",66.25343428206874
"((1.5,), 0.4)",65.44197980987866
"((1.5,), 0.44)",65.41001571842048
"((1.5,), 0.48)",65.4502692967368
"((1.5,), 0.52)",66.02589713089858
"((1.5,), 0.56)",65.96060430160624
"((1.5,), 0.6)",66.65258532282903
"((1.5,), 0.64)",65.74944489314932
"((1.5,), 0.68)",66.35661865029417
"((1.5,), 0.72)",65.6895619821305
"((1.5,), 0.76)",65.76060730053703
"((1.5,), 0.8)",65.73630842484724
"((1.5,), 0.84)",65.72144314645199
"((1.5,), 0.88)",65.64117451050355
"((1.5,), 0.92)",65.86939406930136
"((1.5,), 0.96)",65.89283199486584
"((1.5,), 1.0)",71.28796840515119
